"Category","Design","Reference","Description","Manufacturer","MPN","JLCPCB/LCSC Part #","Required Qty","Buy/Reserve Qty","Assembly route","Procurement status","Stock snapshot (2026-08-13 KST)","Notes","Source"
"PCBA","all four fixture boards","T1-T4 / T1-T2","1:2 impedance-ratio RF transformer; 50 ohm unbalanced to nominal 100 ohm balanced","Mini-Circuits","ADT2-1T+","C5223988","12","12 plus JLC quote attrition","JLC SMT; Extended","ORDERABLE","JLC 159","RJ45 boards need 8 and slip-ring endpoint boards need 4; do not substitute a different turns ratio or footprint","https://jlcpcb.com/partdetail/MiniCircuits-ADT2_1T/C5223988"
"PCBA","balun_eth_rj45 x2","J1","CAT6 shielded RJ45 jack without LEDs or magnetics","Amphenol Communications Solutions","RJE591885401","C5386678","2","2 plus JLC quote attrition","JLC THT wave solder; fixture charge may apply","ORDERABLE","JLC 11","Use only the no-magnetics part; this stock snapshot is sufficient for two boards but must be rechecked at checkout","https://jlcpcb.com/partdetail/AmphenolICC-RJE591885401/C5386678"
"PCBA","balun_eth_rj45 x2","TP1,TP2","Loop test point; 1.02 mm recommended hole","Keystone Electronics","5001","C238122","4","4 plus JLC quote attrition","JLC THT wave solder; fixture charge may apply","ORDERABLE","JLC 3043","Matches the local 1.0 mm drill / 2.5 mm loop footprint; use for RF GND and RJ45 shield access","https://jlcpcb.com/partdetail/Keystone-5001/C238122"
"MANUAL","balun_eth_rj45 x2 and all CT options","RSH1 plus optional RCT1-RCT4 / RCT1-RCT2","0 ohm 0805 jumper, 125 mW","UNI-ROYAL","0805W8F0000T5E","C17477","1 fitted for baseline; 12 optional for CT-GND","100 loose pieces or current seller pack/MOQ","Hand solder after board identity is fixed","ORDERABLE","JLC 7971216","All PCBA jobs leave RSH/RCT empty for the CT-FLOAT baseline; hand-fit one RSH1 only on the RJ45 Port-1 board. The same pack supplies all 12 RCT positions for an optional all-at-once CT-GND experiment","https://jlcpcb.com/partdetail/0805W8F0000T5E/C17477"
"PCBA","all four fixture boards","J2-J5 / J2,J3","50 ohm SMA jack edge mount, DC to 6 GHz; 1.6 mm PCB recommendation","MyAntenna","A-SMA-KE-16.5A","C22467617","12","12 plus JLC quote attrition","JLC Standard PCBA wave solder; high assembly difficulty/fixture review","ORDERABLE_WITH_PCBA_REVIEW","JLC 491","One exact SMA type across every board. Confirm checked-in land pattern, board-edge seating, connector orientation and JLC fixture/engineering remarks in all three PCBA jobs; no automatic substitution","https://jlcpcb.com/partdetail/MyAntenna-A_SMA_KE_165A/C22467617"
"PCBA","balun_slipring/molex_end x1","J1","Micro-Lock Plus 1.25 mm vertical 5-pin PCB header candidate","Molex","5055680571","C585386","1","0 now; 1 plus quote attrition after validation","JLC SMT; Extended","HOLD","JLC 653","The catalog part and local footprint are defined, but this is still an inferred mate for document-listed housing 5055650501. Verify the actual REV-504 mate, key, pin 1 and 1:1 land pattern first","https://jlcpcb.com/partdetail/MOLEX-5055680571/C585386"
"PCBA","balun_slipring/m12_end x1","J1","M12 A-coded 8-pin female PCB connector candidate","Finecables","MB12FBAFF08ST-3","C22378785","1","0 now; source one validation sample/preorder only after mechanical review","JLC THT wave solder after approval","HOLD","JLC 0","Global sourcing or preorder is required. Verify suffix, mating-face pin view, A-key and pin 1, back-side orientation, panel/nut access and cable direction before committing it to PCBA","https://jlcpcb.com/partdetail/FINECABLES-MB12FBAFF08ST3/C22378785"
"ALT_SAMPLE","balun_slipring/m12_end redesign only","J1 alternative","M12 A-coded 8-pin female straight PCB connector; non-drop-in redesign candidate","CAZN","M12-S8A-GPB M12","C19108981","0 in current design","0 now; optionally buy 1 loose sample after the mechanical direction is chosen","Never substitute into current BOM/CPL; new footprint and routing required","HOLD_REDESIGN_CANDIDATE","JLC 31; LCSC 30","Front-mount M12x1/D-cut/ring mechanics differ from the Finecables PG9/back-side candidate and supported PCB thickness is not specified. A sample can inform a redesign only","https://jlcpcb.com/partdetail/CAZN-M12_S8A_GPBM12/C19108981"
"DNP","all four fixture boards","all RCT","Optional center-tap-to-GND links","UNI-ROYAL","0805W8F0000T5E","C17477","0 fitted baseline; 12 board positions","0 additional; use the loose pack above only if CT-GND is intentionally tested","DNP on every PCBA job","DNP_NO_BUY","JLC 7971216","CT-FLOAT is the measurement baseline. Never populate only one end or one pair; CT-GND requires all relevant RCT positions on both fixtures at once and a new REF baseline","https://jlcpcb.com/partdetail/0805W8F0000T5E/C17477"
"DNP","balun_eth_rj45 x2","CSH1","Optional 1 nF / 2 kV AC shield bond","","","","0 fitted baseline; 2 board positions","0","DNP","DNP_NO_BUY","not selected","No component is selected for the base order. If this experiment is added later, remove RSH1 on that board first and separately qualify voltage rating, package creepage and availability",""
"MECHANICAL","all four fixture boards","MH1-MH4","M3 non-conductive supports and fasteners","","","","16 support positions","TBD after fixture-plate and standoff-height decision","External mechanical hardware; not PCBA","HOLD","not selected","Mounting holes are non-plated. Do not introduce an uncontrolled chassis path with metal hardware; select nylon or another non-conductive system after the fixture geometry is known",""
"REF_HARNESS","balun_slipring REF/bypass","cable-end housing","Micro-Lock Plus 1.25 mm 5-circuit receptacle housing","Molex","5055650501","C564750","1","Buy 5 at current LCSC MOQ","External harness; hand assembly","ORDERABLE_AFTER_PIN_VERIFY","LCSC 9310; MOQ 5","Use four populated circuits and leave cavity 5 empty. Verify key and pin 1 against the real REV-504 before assembly","https://www.lcsc.com/product-detail/C564750.html"
"REF_HARNESS","balun_slipring REF/bypass","housing contacts 1-4","Micro-Lock Plus female crimp terminal, matte tin, 30-26 AWG","Molex","5054311000","C385112","4 fitted","Buy 100 at current LCSC MOQ","Qualified hand crimp and pull test","HOLD_SAMPLE_CRIMP","LCSC 208000; MOQ 100","Terminal insulation range is 0.78-1.02 mm. Crimp four sample conductors from the selected cable and verify crimp height, retention and continuity before building the reference","https://www.lcsc.com/product-detail/C385112.html"
"REF_HARNESS","balun_slipring REF/bypass","M12 cable end","M12 A-coded 8-position male field-installable plug, 4-6 mm gland","NorComp","858FA08-103RAU1","37-858FA08-103RAU1-ND","1","Buy 1 plus optional spare","External harness; screw termination","HOLD_MATING_VERIFY","DigiKey 33","The plug is electrically suitable for the selected cable. Verify mating key, pin-1 view and continuity against the actual M12 endpoint before final assembly","https://www.digikey.com/en/products/detail/norcomp-inc/858FA08-103RAU1/16633408"
"REF_HARNESS","balun_slipring REF/bypass","two-pair cable","Flexible Cat.5e SF/UTP cable, 2 pairs, 26 AWG stranded, nominal 100 ohm","LAPP","2170284","2181-2170284-ND","cut to measured DUT connector-to-connector length","Buy 1 m or 3 ft minimum plus termination allowance","External harness; cut after DUT measurement","HOLD_LENGTH_AND_CRIMP","DigiKey cut-length stock 3945 ft","Cable OD 5.6 +/-0.3 mm fits the 4-6 mm M12 gland. Core OD can reach 1.04 mm versus the Molex terminal 1.02 mm limit, so sample-crimp acceptance is mandatory. Keep pair twists to the terminals and leave the overall shield insulated at both ends","https://www.lapp.com/en_US/us/etherline-cat-5e-flex/p/2170284"
"EXTERNAL","shared measurement kit","six unused SMA ports maximum","50 ohm SMA male termination, DC to 18 GHz, 1 W","Mini-Circuits","ANNE-50+","C6125302","6 identical","Buy 6; buy 5 only if the existing unit is confirmed genuine ANNE-50+ and passes inspection","External screw-on accessory; not PCBA","EXTERNAL_ORDER","Mini-Circuits more than 1000; LCSC 0","RJ45 measurement exposes eight SMA ports and a 2-port VNA uses two, so six loads are required for IL/RL, NEXT and FEXT. The slip-ring fixture needs two and shares this same six-piece set. Do not mix an unknown existing load into the matched set","https://www.minicircuits.com/WebStore/dashboard.html?model=ANNE-50%2B"
"EXTERNAL","shared measurement kit","VNA Port 1,Port 2","2 ft SMA male-to-male high-shield test cable, DC to 18 GHz","Mini-Circuits","CBL-2FT-SMSM+","C18117095","0 if two suitable cables already exist; otherwise 2","2 only if existing cables are not verified","External cable; not PCBA","OPTIONAL_EXTERNAL","Mini-Circuits more than 100; LCSC 0","Use two identical low-leakage cables and keep routing, spacing and bend geometry fixed; cable-to-cable coupling can become the apparent FEXT floor","https://www.minicircuits.com/WebStore/dashboard.html?model=CBL-2FT-SMSM%2B"
